pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=32,sr<=70%,kvB<=1k,kp<=2k,0.0983,2
16,n<=32,sr<=70%,kvB<=1k,kp<=4k,0.0844,2
16,n<=32,sr<=70%,kvB<=1k,kp<=512,0.3153,2
16,n<=32,sr<=70%,kvB<=1k,kp<=8k,0.2474,2
16,n<=32,sr<=70%,kvB<=1k,kp=0,0.3653,2
16,n<=32,sr<=70%,kvB<=4k,kp<=1k,0.3143,2
16,n<=32,sr<=70%,kvB<=4k,kp<=2k,0.297,2
16,n<=32,sr<=70%,kvB<=4k,kp<=4k,0.0511,2
16,n<=32,sr<=70%,kvB<=4k,kp<=512,0.2903,2
16,n<=32,sr<=70%,kvB<=4k,kp<=8k,0.04,2
16,n<=32,sr<=70%,kvB<=4k,kp=0,0.2806,2
16,n<=32,sr>70%,kvB<=16k,kp<=1k,1.2129,4
16,n<=32,sr>70%,kvB<=16k,kp<=2k,1.2767,4
16,n<=32,sr>70%,kvB<=16k,kp<=4k,1.292,4
16,n<=32,sr>70%,kvB<=16k,kp<=512,1.4704,4
16,n<=32,sr>70%,kvB<=16k,kp<=8k,1.4516,4
16,n<=32,sr>70%,kvB<=16k,kp=0,1.3039,4
16,n<=32,sr>70%,kvB<=1k,kp<=1k,0.8542,4
16,n<=32,sr>70%,kvB<=1k,kp<=2k,0.7898,4
16,n<=32,sr>70%,kvB<=1k,kp<=4k,0.7754,4
16,n<=32,sr>70%,kvB<=1k,kp<=512,0.8839,4
16,n<=32,sr>70%,kvB<=1k,kp<=8k,0.783,4
16,n<=32,sr>70%,kvB<=1k,kp=0,0.8874,4
16,n<=32,sr>70%,kvB<=4k,kp<=1k,0.8154,4
16,n<=32,sr>70%,kvB<=4k,kp<=2k,0.8174,4
16,n<=32,sr>70%,kvB<=4k,kp<=4k,0.6416,4
16,n<=32,sr>70%,kvB<=4k,kp<=512,0.8191,4
16,n<=32,sr>70%,kvB<=4k,kp<=8k,0.6201,4
16,n<=32,sr>70%,kvB<=4k,kp=0,0.8416,4
16,n<=4,sr<=40%,kvB<=16k,kp<=1k,1.0013,2
